Airline,Origin,Dest,DepDelayMinutes
American Airlines Inc.,PHX,LIH,1010
American Airlines Inc.,HNL,PHX,1172
American Airlines Inc.,ORF,CLT,86
American Airlines Inc.,ORF,CLT,133
American Airlines Inc.,PHX,MKE,63
American Airlines Inc.,PHX,MKE,97
American Airlines Inc.,DFW,SAN,178
American Airlines Inc.,DFW,SAN,60
American Airlines Inc.,SAN,DFW,111
American Airlines Inc.,SAN,DFW,172
American Airlines Inc.,SAN,DFW,61
American Airlines Inc.,SAN,DFW,94
American Airlines Inc.,PHL,SFO,188
American Airlines Inc.,PHL,SFO,132
American Airlines Inc.,PHL,SFO,123
American Airlines Inc.,PHL,SFO,380
American Airlines Inc.,DFW,MEM,278
American Airlines Inc.,MEM,DFW,270
American Airlines Inc.,PHX,MCO,73
American Airlines Inc.,PHX,MCO,69
American Airlines Inc.,PHX,LIH,194
American Airlines Inc.,DCA,PHX,116
American Airlines Inc.,PHX,SFO,70
American Airlines Inc.,PHX,SFO,109
American Airlines Inc.,PHX,SFO,96
American Airlines Inc.,CLT,PHX,80
American Airlines Inc.,BOS,PHL,106
American Airlines Inc.,BOS,PHL,87
American Airlines Inc.,BOS,PHL,74
American Airlines Inc.,BOS,PHL,97
American Airlines Inc.,PHL,BOS,64
American Airlines Inc.,PHL,BOS,98
American Airlines Inc.,PHL,BOS,86
American Airlines Inc.,PHL,BOS,104
American Airlines Inc.,PHL,BOS,84
American Airlines Inc.,PHL,BOS,71
American Airlines Inc.,PHX,AUS,125
American Airlines Inc.,PHX,HNL,104
American Airlines Inc.,PHX,HNL,86
American Airlines Inc.,HNL,PHX,66
American Airlines Inc.,PHX,HNL,71
American Airlines Inc.,PHX,SMF,294
American Airlines Inc.,PHX,SMF,79
American Airlines Inc.,PHX,SMF,65
American Airlines Inc.,LIH,PHX,837
American Airlines Inc.,LIH,PHX,99
American Airlines Inc.,PHL,ORD,63
American Airlines Inc.,SFO,PHL,89
American Airlines Inc.,SFO,PHL,217
American Airlines Inc.,DFW,CLT,281
American Airlines Inc.,DFW,CLT,65
American Airlines Inc.,DFW,CLT,98
American Airlines Inc.,DFW,CLT,80
American Airlines Inc.,DFW,CLT,79
American Airlines Inc.,DEN,DFW,170
American Airlines Inc.,CLT,BUF,67
American Airlines Inc.,LAX,CLT,66
American Airlines Inc.,LAX,CLT,165
American Airlines Inc.,LAX,CLT,99
American Airlines Inc.,LAX,CLT,61
American Airlines Inc.,PHX,SEA,128
American Airlines Inc.,PHX,SEA,99
American Airlines Inc.,PHX,SEA,126
American Airlines Inc.,LAS,PHX,134
American Airlines Inc.,PHX,LAS,162
American Airlines Inc.,PHL,PVD,104
American Airlines Inc.,PHL,PVD,96
American Airlines Inc.,PHL,LAX,72
American Airlines Inc.,PHL,LAX,82
American Airlines Inc.,PHL,LAX,106
American Airlines Inc.,PHX,ORD,64
American Airlines Inc.,DCA,TPA,83
American Airlines Inc.,TPA,DCA,96
American Airlines Inc.,TPA,DCA,67
American Airlines Inc.,PWM,CLT,146
American Airlines Inc.,PWM,CLT,548
American Airlines Inc.,CLT,PHL,111
American Airlines Inc.,PHL,CLT,146
American Airlines Inc.,CLT,RSW,92
American Airlines Inc.,RSW,CLT,84
American Airlines Inc.,PHX,LAX,65
American Airlines Inc.,PHX,LAX,68
American Airlines Inc.,CLT,CHS,71
American Airlines Inc.,CLT,CHS,95
American Airlines Inc.,CLT,CHS,119
American Airlines Inc.,ABQ,PHX,155
American Airlines Inc.,DFW,ABQ,161
American Airlines Inc.,DFW,ABQ,102
American Airlines Inc.,MIA,MCO,62
American Airlines Inc.,LAX,STL,121
American Airlines Inc.,LAX,STL,149
American Airlines Inc.,PHL,RDU,91
American Airlines Inc.,PHL,RDU,128
American Airlines Inc.,PHL,RDU,96
American Airlines Inc.,PHL,RDU,109
American Airlines Inc.,PHL,RDU,96
American Airlines Inc.,PHL,RDU,104
American Airlines Inc.,RDU,PHL,67
American Airlines Inc.,RDU,PHL,106
American Airlines Inc.,RDU,PHL,74
