Airline,Origin,Dest,AirTime
Virgin America,LAX,EWR,281
Virgin America,LAX,EWR,272
Virgin America,LAX,EWR,293
Virgin America,LAX,EWR,271
Virgin America,LAX,EWR,281
Virgin America,LAX,EWR,285
Virgin America,LAX,EWR,275
Virgin America,LAX,EWR,280
Virgin America,LAX,EWR,290
Virgin America,LAX,EWR,288
Virgin America,LAX,EWR,283
Virgin America,LAX,EWR,276
Virgin America,LAX,EWR,285
Virgin America,LAX,EWR,294
Virgin America,LAX,EWR,286
Virgin America,LAX,EWR,294
Virgin America,LAX,EWR,290
Virgin America,LAX,EWR,307
Virgin America,LAX,EWR,288
Virgin America,LAX,EWR,295
Virgin America,LAX,EWR,
Virgin America,LAX,EWR,286
Virgin America,LAX,EWR,
Virgin America,LAX,EWR,283
Virgin America,LAX,EWR,
Virgin America,LAX,EWR,295
Virgin America,LAX,EWR,
Virgin America,LAX,EWR,317
Virgin America,LAX,EWR,275
Virgin America,LAX,EWR,315
Virgin America,LAX,EWR,280
Virgin America,LAX,EWR,307
Virgin America,LAX,EWR,281
Virgin America,LAX,EWR,288
Virgin America,LAX,EWR,285
Virgin America,LAX,EWR,277
Virgin America,LAX,EWR,273
Virgin America,LAX,EWR,265
Virgin America,LAX,EWR,280
Virgin America,LAX,EWR,283
Virgin America,LAX,EWR,287
Virgin America,LAX,EWR,280
Virgin America,LAX,EWR,275
Virgin America,LAX,EWR,285
Virgin America,LAX,EWR,297
Virgin America,LAX,EWR,295
Virgin America,LAX,EWR,268
Virgin America,LAX,EWR,278
Virgin America,LAX,EWR,283
Virgin America,LAX,EWR,295
Virgin America,LAX,EWR,274
Virgin America,LAX,EWR,303
Virgin America,LAX,EWR,272
Virgin America,LAX,EWR,283
Virgin America,LAX,EWR,308
Virgin America,LAX,EWR,273
Virgin America,LAX,EWR,274
Virgin America,LAX,EWR,280
Virgin America,LAX,EWR,297
Virgin America,LAX,EWR,270
Virgin America,LAX,EWR,265
Virgin America,LAX,EWR,280
Virgin America,LAX,EWR,257
Virgin America,LAX,EWR,300
Virgin America,LAX,EWR,296
Virgin America,LAX,EWR,314
Virgin America,LAX,EWR,289
Virgin America,LAX,EWR,293
Virgin America,LAX,EWR,267
Virgin America,LAX,EWR,290
Virgin America,LAX,EWR,258
Virgin America,LAX,EWR,285
Virgin America,LAX,EWR,280
Virgin America,LAX,EWR,278
Virgin America,LAX,EWR,304
Virgin America,LAX,EWR,277
Virgin America,LAX,EWR,274
Virgin America,LAX,EWR,262
Virgin America,LAX,EWR,272
Virgin America,LAX,EWR,282
Virgin America,LAX,EWR,269
Virgin America,LAX,EWR,287
Virgin America,LAX,EWR,273
Virgin America,LAX,EWR,291
Virgin America,LAX,EWR,260
Virgin America,LAX,EWR,297
Virgin America,LAX,EWR,278
Virgin America,LAX,EWR,278
Virgin America,LAX,EWR,278
Virgin America,LAX,EWR,293
Virgin America,LAX,EWR,267
Virgin America,LAX,EWR,304
Virgin America,LAX,EWR,266
Virgin America,LAX,EWR,294
Virgin America,LAX,EWR,261
Virgin America,LAX,EWR,272
Virgin America,LAX,EWR,270
Virgin America,LAX,EWR,278
Virgin America,LAX,EWR,274
Virgin America,LAX,EWR,281
